q	gloss	clean	qtmplt	atmplt	ptag	ntag	count
enthralled?	e==enthralled	enthralled	{emotion:enthralled}	NULL	NULL	NULL	1
thrilled?	e==thrill	thrilled	{emotion:thrilled}	NULL	NULL	NULL	2
delighted?	e==delight	delighted	{emotion:delighted}	NULL	NULL	NULL	1
i think u can tell me. hehe	giveup	NULL	NULL	NULL	NULL	NULL	1
overjoyed?	e==overjoyed	overjoyed	{emotion:overjoyed}	NULL	NULL	NULL	1
euphoria?	e==euphoria	euphoria	{emotion:euphoria}	NULL	NULL	NULL	1
ecstasy?	e==ecstacy	ecstasy	{emotion:ecstasy}	NULL	NULL	NULL	1
pleased?	e==pleased	pleased	{emotion:pleased}	NULL	NULL	NULL	3
i already over 20\nwe can stop here\nwhat was the answer?\ni may have to take GRE again. hahahaha	giveup	NULL	NULL	NULL	NULL	NULL	1
is it active?	e.activation==high	is it active	is {e:it} active	NULL	NULL	NULL	1
is it content?	e==contentment	is it content	is it content	NULL	NULL	NULL	1
is it pleased?	e==pleased	is it pleased	is {e:it} {emotion:pleased}	NULL	NULL	NULL	2
is it amused?	e==amusement	is it amused	is {e:it} {emotion:amused}	NULL	NULL	NULL	2
is it pride?	e==pride	is it pride	is {e:it} {emotion:pride}	NULL	NULL	NULL	4
I have no idea... I am terrible at these games...\ndoes it have anything to do with the attainment of goals?	situation(e,goalAttainment)	i have no idea i am terrible at these games does it have anything to do with the attainment of goals	{pathetic:i have no idea i am terrible at these games} does {e:it} have anything to do with the attainment of goals	NULL	NULL	NULL	1
is it satisfied?	e==satisfaction	is it satisfied	is {e:it} {emotion:satisfied}	NULL	NULL	NULL	1
is it hope?	e==hope	is it hope	is {e:it} {emotion:hope}	NULL	NULL	NULL	2
optimism?	e==optimism	optimism	{emotion:optimism}	NULL	NULL	NULL	1
eagerness?	e==eagerness	eagerness	{emotion:eagerness}	NULL	NULL	NULL	2
Enthusiasm	e==enthusiasm	enthusiasm	{emotion:enthusiasm}	NULL	NULL	NULL	1
excitement?	e==excitement	excitement	{emotion:excitement}	NULL	NULL	NULL	1
accomplished?	e==accomplished	accomplished	{emotion:accomplished}	NULL	NULL	NULL	1
fulfilled?	e==fulfillment	fulfilled	{emotion:fulfilled}	NULL	NULL	NULL	1
confident?	e==confidence	confident	{emotion:confident}	NULL	NULL	NULL	1
do you feel this spontaneously?\nas opposed to being caused by something external..	cause(emptySet,e)	do you feel this spontaneously as opposed to being caused by something external	do {experiencer:you} feel {e:this} spontaneously {clarification:as opposed to being caused by something external}	you feel {e:this} spontaneously as opposed to being caused by something external	NULL	NULL	1
can it be caused by another person?	cause(otherPerson,e)	can it be caused by another person	can {e:it} be {cause-by:caused by} another person	{e:it} can be caused by another person	NULL	NULL	1
is it necessarily caused by another person?	necessarily(cause(otherPerson,e))	is it necessarily caused by another person	is {e:it} {modal:necessarily} {cause-by:caused by} another person	NULL	NULL	NULL	1
can it be directed at another person?	directed(e,otherPerson)	can it be directed at another person	can {e:it} be directed at {beneficiary:another person}	{e:it} can be directed at another person	NULL	NULL	1
is the emotion short in duration?	e.duration==short	is the emotion short in duration	is {e:the emotion} {duration:short} in duration	{e:the emotion} is short in duration	NULL	NULL	1
amused?	e==amusement	amused	{emotion:amused}		NULL	NULL	1
is it close to amused?	similar(e,amused)	is it close to amused	is {e:it} close to {emotion:amused}	{e:the emotion} is close to amused	NULL	NULL	1
is it a strong emotion?	e.activation==high	is it a strong emotion	is {e:it} a strong emotion	{e:it} is a strong emotion	NULL	NULL	3
surprised?	e==surprise	surprised	{emotion:surprised}	NULL	NULL	NULL	1
impressed?	e==impressed	impressed	{emotion:impressed}	NULL	NULL	NULL	1
doh, I'm not confident any more ...\nis it related to goals?	situation(e,goals)	doh i am not confident any more is it related to goals	{interjection:doh} {comment:i am not confident any more} is {e:it} related to goals	{e:it is related to goals}	NULL	NULL	1
hmmm\nrelieved?	e==relief	hmmm relieved	{interjection:hmmm} {emotion:relieved}	NULL	NULL	NULL	1
1) does the emotion have positive connotations?	e.valence==positive	1 does the emotion have positive connotations	{qnum:1} does {e:the emotion} have positive connotations	{e:the emotion} has positive connotations	NULL	NULL	1
2) so is it a negative emotion?	e.valence==negative	2 so is it a negative emotion	{qnum:2} {interjection:so} is {e:it} a negative emotion	{e:it} is a negative emotion	NULL	NULL	1
3) is it an everyday occurring emotion?	e.frequency==regularly	3 is it an everyday occurring emotion	{qnum:3} is {e:it} an {frequency:everyday occurring} emotion	{e:it} is an everyday occurring emotion	NULL	NULL	1
4) is it associated with being sad?	situation(e,sad)	4 is it associated with being sad	{qnum:4} is {e:it} associated with {emotion:being sad}	{e:it} is a associated with being sad	NULL	NULL	1
5) is it a personality attribute, as in you could describe someone with this word?	personalityTrait(e)	5 is it a personality attribute as in you could describe someone with this word	{qnum:5} is {e:it} a personality attribute {clarification:as in you could describe someone with this word}	{e:it} is a personality attribute as in you could describe someone with this word	NULL	NULL	1
6) would i feel this emotion if i stubbed my toe?	situation(e,stubbedToe)	6 would i feel this emotion if i stubbed my toe	{qnum:6} would {experiencer:i} feel {e:this emotion} if {situation:{experiencer:i} stubbed {experiencer:my} toe}	i would feel {e:this emotion} if i stubbed my toe	NULL	NULL	1
7) is it associated with having a bad day?	situation(e,badDay)	7 is it associated with having a bad day	{qnum:7} is {e:it} associated with {situation:having a bad day}	{e:it} is associated with having a bad day	NULL	NULL	1
actually I feel fairly confident I know what it is.... is it anger?	e==anger	actually I feel fairly confident I know what it is is it anger	{comment:actually I feel fairly confident I know what it is} is {e:it} {emotion:anger}	NULL	NULL	NULL	1
is it a positive or negative emtion?	e.valence==positive	NULL	NULL	NULL	NULL	NULL	1
Is it often felt in the course of a day?	e.frequency>daily	is it often felt in the course of a day	is {e:it} {frequency:often felt in the course of a day}	{e:it} is often felt in the course of a day	NULL	NULL	1
is it ever agood emotion?	possible(good(e))	is it ever a good emotion	is {e:it} ever a good emotion	{e:it} is sometimes a good emotion	NULL	NULL	1
can it be harmful to the person feeling it?	cause(e,harmToSelf)	can it be harmful to the person feeling it	can {e:it} be harmful to {experiencer:the person feeling it}	{e:it} can be harmful to the person feeling {e:it}	NULL	NULL	1
yes.  mynext question is can it harm anyone besides the feeler?	cause(e,harmToOther)	yes mynext question is can it harm anyone besides the feeler	{interjection:yes} {comment:my next question is} can {e:it} harm anyone besides {experiencer:the feeler}	{e:it} can it harm someone besides the feeler	NULL	NULL	1
i dont' know if this is a valid question, but does it start with the letter D?	spelling=~/^d/	i don't know if this is a valid question but does it start with the letter d	{comment:i don't know if this is a valid question but} does {e:it} start with the letter d	{e:it} starts with the letter d	NULL	NULL	1
damn.  does the person have any control over this emotion?	control(self,e)	damn does the person have any control over this emotion	{interjection:damn} does {experiencer:the person} have any control over {e:this emotion}	a person has some control over {e:this emotion}	NULL	NULL	1
do children feel this emotion?	experience(e,children)	do children feel this emotion	do {experiencer:children} feel {e:this emotion}	children feel {e:this emotion}	NULL	NULL	1
do adults usually try to discourage children from feeling this?	try(adults,cause(adults,not(experience(e,children))))	do adults usually try to discourage children from feeling this	do adults {modal:usually} try to discourage {experiencer:children} from feeling {e:this}	adults usually try to discourage children from feeling {e:this}	NULL	NULL	1
is it common in most children?	common(e,most(children))	is it common in most children	is {e:it} common in most children	{e:it} is common in most children	NULL	NULL	1
I think I know, but I'll ask one more question...does it ever cause children to wake up and cry?	cause(e,wakeUp(chidren)&&cry(children))	i think i know but I'll ask one more question does it ever cause children to wake up and cry	{comment:i think i know but I'll ask one more question} does {e:it} ever {cause:cause} {situation:children to wake up and cry}	{e:it} can cause children to wake up and cry	NULL	NULL	1
Are they scared when they feel it?	situation(e,scared(children))	are they scared when they feel it	are {exeriencer:they} scared when {experiencer:they} feel {e:it}	NULL	NULL	NULL	1
is it a socially acceptable emotion, say, at a birthday party?	situation(e,birthday)	is it a socially acceptable emotion say at a birthday party	is {e:it} a socially acceptable emotion {example:say at a birthday party}	{e:it} is a socially acceptable emotion say at a birthday party	NULL	NULL	1
I guess hatred	e==hatred	i guess hatred	i guess {emotion:hatred}	NULL	NULL	NULL	1
is it a shameful feeling?	subset(e,shame)	is it a shameful feeling	is {e:it} a shameful feeling	{e:it} is a shameful feeling	NULL	NULL	1
I didn't see that answer.  is it rage?	e==rage	i didn't see that answer is it rage	{comment:i didn't see that answer} is {e:it} {emotion:rage}	NULL	NULL	NULL	1
is it frustration?	e==frustration	is it frustration	is {e:it} {emotion:frustration}	NULL	NULL	NULL	1
uncle.  you win.	giveup	NULL	NULL	NULL	NULL	NULL	1
ok. Q1. Is it a hot emotion?	e.temperature==hot	ok q1 is it a hot emotion	{interjection:ok} {qnum:q1} is {e:it} a hot emotion	{e:it} is a hot emotion	NULL	NULL	1
Q2. Is it neutral	e==neutral	q2 is it neutral	{qnum:q2} is {e:it} neutral	{e:it} is neutral	NULL	NULL	1
Q3. Is it a happy emotion?	subset(e,happy)	q3 is it a happy emotion	{qnum:q3} is {e:it} a happy emotion	{e:it} is a happy emotion	NULL	NULL	1
Q4. Is it a sad emotion?	subset(e,sad)	q4 is it a sad emotion	{qnum:q4} is {e:it} a sad emotion	{e:it} is a sad emotion	NULL	NULL	1
Q5. Does this emotion involve a verbal outburst or utterance?	behavior(e,verbal)	q5 does this emotion involve a verbal outburst or utterance	{qnum:q5} does {e:this emotion} involve {behavior:a verbal outburst or utterance}	{e:this emotion} involves a verbal outburst or utterance	NULL	NULL	1
Q6. Is this emotion remorseful?	e==remorse	q6 is this emotion remorseful	{qnum:q6} is {e:this emotion} {emotion:remorseful}		NULL	NULL	1
7. Is this emotion sadness?	e==sadness	7 is this emotion sadness	{qnum:7} is {e:this emotion} {emotion:sadness}		NULL	NULL	1
lets see... is it similar to happiness?	similar(e,happiness)	lets see is it similar to happiness	{hesitation:lets see} is {e:it} similar to {emotion:happiness}	{e:it} is similar to happiness	NULL	NULL	1
is it happiness?	e==happiness	is it happiness	is {e:it} {emotion:happiness}	NULL	NULL	NULL	2
okay... 3) is it a strong emotion?	e.activation==high	okay 3 is it a strong emotion	{interjection:okay} {qnum:3} is {e:it} a strong emotion	{e:it} is a strong emotion	NULL	NULL	1
is it long lasting?	e.duration==long	is it long lasting	is {e:it} {duration:long} lasting	{e:it} is long lasting	NULL	NULL	1
is it humor?	e==humor	is it humor	is {e:it} {emotion:humor}	NULL	NULL	NULL	1
6) is it joy?	e==joy	6 is it joy	{qnum:6} is {e:it} {emotion:joy}	NULL	NULL	NULL	1
7) is it directed at another person?	directed(e,otherPerson)	7 is it directed at another person	{qnum:7} is {e:it} directed at {beneficiary:another person}	{e:it} is directed at another person	NULL	NULL	1
is it something that you feel often?\n8	e.frequency==regularly	is it something that you feel often 8	is {e:it} something that {experiencer:you} feel {frequency:often} {qnum:8}	{e:it} is something you feel often	NULL	NULL	1
extatic?	e==extatic	ecstatic	{emotion:ecstatic}	NULL	NULL	NULL	1
9) excited	e==excited	9 excited	{qnum:9} {emotion:excited}	NULL	NULL	NULL	1
is it something unexpected?	unexpected(e)	is it something unexpected	is {e:it} something unexpected	{e:it} is something unexpected	NULL	NULL	1
